Area,Name,Quantity,List Price,Product Type,Width,Width 2,Height,Mounting,Fabric,Top Treatment,Flap,Technology,Operator,Operator Side,Bracket,Hembar,Fabric Face,Fabric Drop,Railroading,Custom Seam,Batten,Single Split,Side Channel,Sill Angle,Light Gap Type,Width Type,Tube,Coupler Type,Is Replacement,Top Treatment Details,Hanger,Metal Color
Living Room 1,LR-001w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-002w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-003w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-004w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-005w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-201w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-202w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-203w,1,3115.42,Roller,129.625,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-204w,1,3115.42,Roller,129.625,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-205w,1,2136.45,Roller,98.625,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Guest 1,G1-007d,1,2246.79,Roller,119,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
